molecule_chembl_id,canonical_smiles,standard_value,pIC50,NumAromaticRings,LogP,MolecularWeight,NumHDonors,NumHAcceptors
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL312310,Clc1ccc2c(NCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,0.3,9.522878745280337,4,9.711999999999996,575.628,2,4
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL4471659,NC12CC3CC(F)(CC(C1)c1cc(NC(=O)CCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)ccc13)C2,0.3,9.522878745280337,3,7.162100000000006,547.1180000000003,3,4
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL338755,CN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,0.3,9.522878745280337,4,6.776600000000006,507.72600000000045,2,5
CHEMBL225021,O=C(CCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.3,9.522878745280337,4,6.969600000000006,503.0900000000003,3,3
CHEMBL2011495,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl,0.31,9.508638306165727,4,9.622399999999995,665.1529999999999,2,5
CHEMBL189957,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.32,9.494850021680094,4,6.125700000000006,502.6110000000002,1,6
CHEMBL140476,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,0.32,9.494850021680094,2,4.466400000000003,284.7900000000001,1,2
CHEMBL543655,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1.Cl,0.32,9.494850021680094,4,6.547500000000007,539.0720000000002,1,6
CHEMBL140476,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,0.32,9.494850021680094,2,4.466400000000003,284.7900000000001,1,2
CHEMBL189957,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.32,9.494850021680094,4,6.125700000000006,502.6110000000002,1,6
CHEMBL208599,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,0.32,9.494850021680094,2,4.856500000000003,298.8170000000001,1,2
CHEMBL189957,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.32,9.494850021680094,4,6.125700000000006,502.6110000000002,1,6
CHEMBL2113368,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@H](C1)C2.Cl.Cl.Cl,0.32,9.494850021680094,4,10.20269999999999,717.6570000000002,2,5
CHEMBL2236393,CNCOc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.32,9.494850021680094,4,5.963200000000007,488.62800000000016,1,6
CHEMBL143812,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,0.3236,9.489991487059765,2,4.856500000000003,298.8170000000001,1,2
CHEMBL140476,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,0.3236,9.489991487059765,2,4.466400000000003,284.7900000000001,1,2
